taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1236.0,222,31127.0,295763.0,821503.0,465,2608.0,7936.0,9672.0,25893.0,27314.0,0,0,6355.0
1237.0,82,31015.0,251230.0,776250.0,82,304.0,4304.0,10071.0,25582.0,27314.0,0,1696,6495.0
1238.0,2449,27572.0,253533.0,771215.0,0,2449.0,3876.0,6240.0,16765.0,26818.0,0,0,0.0
1239.0,137,25375.0,181385.0,670586.0,0,137.0,137.0,8699.0,20363.0,25686.0,0,0,5070.0
1240.0,506,27182.0,232145.0,735365.0,0,506.0,2426.0,12461.0,24611.0,25893.0,0,0,2057.0
1241.0,1696,33238.0,280114.0,803068.0,0,1696.0,7169.0,8605.0,25686.0,27314.0,0,1604,9834.0
1242.0,322,45352.0,352380.0,826594.0,322,3080.0,9059.0,11570.0,25893.0,27314.0,0,1696,8069.0
1243.0,1813,35087.0,301963.0,810298.0,1813,2388.0,7526.0,10362.0,25686.0,27314.0,0,0,3995.0
1244.0,224,31950.0,249201.0,759557.0,224,477.0,13172.0,13631.0,25352.0,25893.0,0,0,1833.0
1245.0,253,31845.0,298418.0,801480.0,253,2290.0,2290.0,7935.0,25437.0,26723.0,0,0,0.0
1246.0,2273,31845.0,269954.0,780196.0,2273,2586.0,4721.0,7182.0,26723.0,29717.0,0,0,2018.0
1247.0,1929,25571.0,288845.0,672137.0,0,0.0,0.0,1929.0,4565.0,20370.0,0,0,0.0
1248.0,2636,7387.0,148947.0,443935.0,0,0.0,0.0,2636.0,7387.0,19333.0,0,0,0.0
1249.0,2822,25209.0,166962.0,435690.0,0,0.0,2822.0,2822.0,19473.0,25209.0,0,0,0.0
1250.0,2867,22573.0,158462.0,427383.0,0,2867.0,4919.0,5449.0,20595.0,30311.0,0,0,0.0
1251.0,993,27675.0,156611.0,427202.0,0,993.0,1457.0,3755.0,20644.0,27675.0,0,0,6420.0
1252.0,5102,13778.0,88011.0,281616.0,0,0.0,5102.0,5102.0,9625.0,26540.0,0,0,0.0
1253.0,49,25866.0,129038.0,388894.0,49,125.0,410.0,1266.0,18652.0,26787.0,0,540,7787.0
1254.0,76,27795.0,139669.0,412292.0,76,410.0,1109.0,2595.0,22120.0,26108.0,0,766,8514.0
1255.0,285,27675.0,156691.0,426957.0,285,1060.0,2595.0,4229.0,24942.0,25746.0,0,4784,9744.0
1256.0,520,25866.0,118934.0,377178.0,520,805.0,1470.0,4523.0,22120.0,27662.0,0,0,829.0
1257.0,157,32144.0,106570.0,356343.0,157,1022.0,3934.0,4447.0,22924.0,27662.0,0,0,6826.0
1258.0,253,32379.0,121712.0,386029.0,253,2127.0,4398.0,13501.0,22924.0,26787.0,0,157,6970.0
1259.0,612,33962.0,139669.0,412115.0,612,2127.0,11448.0,13033.0,25746.0,26108.0,0,5262,9014.0
1260.0,240,33509.0,154831.0,426739.0,240,3939.0,9160.0,11043.0,25746.0,30311.0,0,5749,9565.0
1261.0,179,27675.0,167794.0,429827.0,179,464.0,2546.0,4229.0,25746.0,25746.0,0,285,9850.0
1262.0,1439,33509.0,188199.0,476322.0,1439,2822.0,11153.0,13000.0,20644.0,30311.0,0,5130,8304.0
1263.0,530,33509.0,158462.0,428965.0,530,3687.0,8286.0,13000.0,20644.0,30311.0,0,6039,9748.0
1264.0,865,35891.0,150489.0,424571.0,4852,7100.0,8696.0,13033.0,25746.0,30311.0,0,5862,8940.0
1265.0,3987,34188.0,154831.0,426739.0,4852,5465.0,8286.0,9140.0,20644.0,30311.0,0,4584,6811.0
1266.0,613,35356.0,189605.0,483380.0,613,7434.0,11153.0,12007.0,20644.0,30311.0,0,7061,8672.0
1267.0,601,35891.0,167794.0,435995.0,0,601.0,1405.0,9451.0,20595.0,30311.0,0,0,4600.0
1268.0,804,26478.0,118934.0,375516.0,0,804.0,1405.0,1405.0,19714.0,28382.0,0,0,0.0
